t,n,keygen duration,message_size,signature_size,sign_verify
1,3,0.004106483000000008,64,143,0.003424576999999998
1,3,0.0045207150000000085,64,143,0.0038858660000000017
1,3,0.004459420000000006,64,143,0.0035848309999999967
1,3,0.004525921000000002,64,143,0.0031205050000000026
2,3,0.00486889900000001,64,143,0.004509918000000002
1,3,0.004597580000000004,64,143,0.003530959
2,3,0.00571903,64,143,0.004893544
